HorarioH,VelocidadeMaxima,Horário,Gênero,Região,Idade,Ano,Mes,TipoBatida
23,110,1411,Female,Major Cities of Australia,28,2021,9,Multiple
4,100,240,Male,Major Cities of Australia,19,2021,9,Multiple
2,60,120,Male,Major Cities of `Australia`,47,2021,9,Single
21,80,1260,Male,Inner Regional Australia,24,2021,9,Single
21,50,1260,Male,Major Cities of Australia,52,2021,9,Multiple
21,60,1310,Female,Inner Regional Australia,32,2021,9,Single
8,110,485,Male,Inner Regional Australia,26,2021,9,Single
13,100,780,Male,Outer Regional Australia,52,2021,9,Single
8,100,510,Female,Outer Regional Australia,11,2021,9,Single
10,100,652,Male,Outer Regional Australia,46,2021,9,Single
11,50,675,Male,Major Cities of Australia,45,2021,9,Single
14,60,860,Male,Major Cities of Australia,52,2021,9,Multiple
6,100,360,Male,Inner Regional Australia,19,2021,9,Single
14,50,890,Male,Major Cities of Australia,36,2021,9,Single
8,80,505,Male,Outer Regional Australia,71,2021,9,Multiple
11,100,660,Male,Major Cities of Australia,24,2021,9,Single
11,100,660,Male,Inner Regional Australia,19,2021,9,Multiple
13,80,780,Male,Inner Regional Australia,31,2021,9,Single
16,50,960,Female,Outer Regional Australia,86,2021,9,Multiple
11,50,710,Male,Inner Regional Australia,37,2021,9,Single
7,100,420,Male,Major Cities of Australia,62,2021,9,Multiple
8,100,480,Male,Inner Regional Australia,64,2021,9,Single
8,100,520,Male,Inner Regional Australia,51,2021,9,Single
9,100,540,Male,Inner Regional Australia,34,2021,9,Single
17,100,1020,Male,Outer Regional Australia,60,2021,9,Single
15,60,900,Male,Major Cities of Australia,34,2021,9,Single
11,100,693,Male,Inner Regional Australia,74,2021,9,Single
8,60,486,Female,Major Cities of Australia,70,2021,9,Multiple
19,100,1140,Female,Remote Australia,32,2021,9,Single
14,70,870,Male,Major Cities of Australia,68,2021,9,Multiple
17,100,1075,Male,Outer Regional Australia,68,2021,9,Single
21,60,1310,Female,Inner Regional Australia,6,2021,9,Single
13,50,820,Female,Outer Regional Australia,84,2021,9,Single
20,110,1200,Male,Major Cities of Australia,63,2021,9,Single
13,90,795,Female,Inner Regional Australia,19,2021,9,Multiple
8,100,480,Male,Major Cities of Australia,26,2021,9,Single
6,70,373,Male,Major Cities of Australia,32,2021,9,Single
13,100,825,Male,Major Cities of Australia,77,2021,9,Multiple
21,60,1310,Male,Inner Regional Australia,10,2021,9,Single
23,50,1380,Male,Inner Regional Australia,19,2021,9,Single
20,80,1200,Male,Major Cities of Australia,38,2021,9,Single
12,50,778,Female,Inner Regional Australia,4,2021,9,Single
8,80,510,Male,Major Cities of Australia,39,2021,9,Single
14,60,885,Female,Major Cities of Australia,90,2021,9,Single
1,60,60,Male,Major Cities of Australia,36,2021,8,Single
18,100,1081,Male,Inner Regional Australia,35,2021,8,Multiple
1,100,90,Male,Outer Regional Australia,56,2021,8,Multiple
20,50,1250,Male,Major Cities of Australia,49,2021,8,Multiple
19,50,1154,Male,Inner Regional Australia,45,2021,8,Multiple
18,100,1080,Male,Inner Regional Australia,34,2021,8,Multiple
23,100,1380,Male,Inner Regional Australia,31,2021,8,Single
0,100,5,Male,Remote Australia,20,2021,8,Single
19,100,1140,Male,Very Remote Australia,46,2021,8,Single
1,60,60,Female,Major Cities of Australia,46,2021,8,Single
18,100,1080,Male,Inner Regional Australia,59,2021,8,Multiple
11,70,660,Male,Major Cities of Australia,27,2021,8,Single
14,100,840,Female,Outer Regional Australia,40,2021,8,Single
14,80,840,Female,Inner Regional Australia,60,2021,8,Single
12,100,720,Male,Outer Regional Australia,70,2021,8,Multiple
19,80,1188,Male,Major Cities of Australia,77,2021,8,Multiple
15,70,925,Male,Major Cities of Australia,18,2021,8,Single
11,80,697,Male,Major Cities of Australia,26,2021,8,Single
12,50,720,Male,Inner Regional Australia,85,2021,8,Multiple
6,100,360,Male,Outer Regional Australia,29,2021,8,Single
12,100,720,Male,Remote Australia,29,2021,8,Single
9,60,596,Female,Major Cities of Australia,35,2021,8,Multiple
5,100,300,Male,Outer Regional Australia,18,2021,8,Multiple
5,110,350,Male,Outer Regional Australia,18,2021,8,Multiple
13,70,815,Male,Major Cities of Australia,58,2021,8,Single
11,100,706,Male,Outer Regional Australia,24,2021,8,Multiple
15,100,920,Male,Outer Regional Australia,45,2021,8,Multiple
6,110,360,Male,Inner Regional Australia,48,2021,8,Multiple
10,100,615,Female,Outer Regional Australia,51,2021,8,Single
12,100,720,Male,Remote Australia,40,2021,8,Single
14,50,840,Male,Major Cities of Australia,51,2021,8,Single
10,100,600,Male,Inner Regional Australia,40,2021,8,Single
14,100,870,Male,Outer Regional Australia,24,2021,8,Single
16,100,971,Male,Inner Regional Australia,68,2021,8,Single
16,70,960,Male,Major Cities of Australia,70,2021,8,Multiple
14,60,873,Male,Inner Regional Australia,70,2021,8,Single
9,100,550,Male,Outer Regional Australia,18,2021,8,Single
5,80,312,Male,Major Cities of Australia,50,2021,8,Multiple
9,60,596,Female,Major Cities of Australia,8,2021,8,Multiple
10,70,600,Female,Major Cities of Australia,79,2021,8,Multiple
20,80,1230,Male,Outer Regional Australia,63,2021,8,Single
5,110,355,Male,Outer Regional Australia,64,2021,8,Multiple
12,100,720,Male,Remote Australia,85,2021,8,Single
16,100,960,Female,Outer Regional Australia,83,2021,8,Single
17,80,1040,Female,Inner Regional Australia,83,2021,8,Multiple
7,50,472,Female,Major Cities of Australia,83,2021,8,Multiple
15,100,920,Female,Outer Regional Australia,75,2021,8,Multiple
15,110,930,Female,Very Remote Australia,29,2021,8,Single
3,110,210,Female,Inner Regional Australia,41,2021,8,Multiple
3,110,210,Male,Inner Regional Australia,52,2021,8,Multiple
18,90,1100,Male,Remote Australia,50,2021,8,Multiple
20,50,1200,Male,Major Cities of Australia,69,2021,8,Single
17,100,1057,Male,Inner Regional Australia,20,2021,8,Single
6,100,360,Male,Major Cities of Australia,25,2021,8,Multiple
8,100,480,Male,Outer Regional Australia,77,2021,8,Multiple
13,80,820,Female,Inner Regional Australia,86,2021,8,Single
14,100,845,Male,Outer Regional Australia,90,2021,8,Single
14,100,845,Female,Outer Regional Australia,85,2021,8,Single
14,60,873,Male,Inner Regional Australia,76,2021,8,Single
15,80,930,Male,Inner Regional Australia,82,2021,8,Single
9,60,596,Male,Major Cities of Australia,-9,2021,8,Multiple
19,60,1181,Male,Major Cities of Australia,49,2021,8,Single
19,50,1145,Male,Outer Regional Australia,15,2021,8,Single
17,80,1020,Male,Major Cities of Australia,16,2021,8,Single
11,60,660,Female,Major Cities of Australia,63,2021,8,Single
16,50,965,Male,Major Cities of Australia,80,2021,8,Single
11,50,697,Female,Outer Regional Australia,79,2021,8,Single
3,60,180,Male,Major Cities of Australia,77,2021,8,Single
20,110,1200,Male,Major Cities of Australia,17,2021,8,Multiple
2,60,120,Female,Outer Regional Australia,31,2021,7,Single
2,60,120,Male,Remote Australia,35,2021,7,Single
2,60,150,Male,Major Cities of Australia,40,2021,7,Single
19,100,1140,Male,Inner Regional Australia,52,2021,7,Single
22,110,1320,Male,Outer Regional Australia,19,2021,7,Multiple
20,100,1200,Male,Inner Regional Australia,22,2021,7,Single
23,60,1380,Female,Outer Regional Australia,20,2021,7,Multiple
3,100,194,Female,Major Cities of Australia,63,2021,7,Multiple
20,70,1200,Male,Inner Regional Australia,17,2021,7,Multiple
22,60,1320,Male,Major Cities of Australia,18,2021,7,Multiple
3,100,237,Male,Inner Regional Australia,27,2021,7,Single
